article_id,title,newspaper_id,newspaper_title,page,date,category,words,illustrated,corrections,url,page_url
236252640,RED HOT,1002,"Tribune (Sydney, NSW : 1939 - 1976)",3,1961-10-25,Article,321,N,0,,
236252656,WOMEN SAY!,1002,"Tribune (Sydney, NSW : 1939 - 1976)",10,1962-08-22,Article,555,N,0,,
236252672,"Working People's Life in LETTERS EYE WITNESS ANSWERS ""FOOD RIOTS"" STORY",1002,"Tribune (Sydney, NSW : 1939 - 1976)",9,1962-08-22,Article,290,N,0,,
236252688,COMMUNIST CALL TO BUILD PARTY,1002,"Tribune (Sydney, NSW : 1939 - 1976)",1,1962-08-22,Article,913,N,0,,
236252704,STOP WORK,1002,"Tribune (Sydney, NSW : 1939 - 1976)",12,1962-08-22,Article,68,N,0,,
236252720,Sth Coast meeting on Aborigines,1002,"Tribune (Sydney, NSW : 1939 - 1976)",9,1962-03-07,Article,70,N,0,,
236252736,No title,1002,"Tribune (Sydney, NSW : 1939 - 1976)",2,1962-03-07,Article,3,Y,0,,
236252752,Saunders evicted but fight goes on,1002,"Tribune (Sydney, NSW : 1939 - 1976)",12,1962-03-07,Article,288,N,0,,
236252768,TRIBUNE FESTIVAL CORNER with adam O[?]ston EYL members active in Tribune Picnic,1002,"Tribune (Sydney, NSW : 1939 - 1976)",11,1962-03-07,Article,457,N,0,,
236252784,STREET TEAM BOOSTS SALES,1002,"Tribune (Sydney, NSW : 1939 - 1976)",10,1961-03-22,Article,238,Y,0,,
236252800,Tasmanian women call for peace,1002,"Tribune (Sydney, NSW : 1939 - 1976)",8,1961-03-22,Article,163,N,0,,
236252816,Poland is on the way,1002,"Tribune (Sydney, NSW : 1939 - 1976)",6,1961-03-22,Article,22,Y,0,,
236252832,No title,1002,"Tribune (Sydney, NSW : 1939 - 1976)",11,1961-03-22,Article,40,Y,0,,
236252848,TRIBUNE FUND,1002,"Tribune (Sydney, NSW : 1939 - 1976)",11,1961-03-22,"Detailed lists, results, guides",57,N,0,,
236248833,PEACE MARCHES GAINING SUPPORT,1002,"Tribune (Sydney, NSW : 1939 - 1976)",1,1962-04-18,Article,468,Y,0,,
236252864,Katharine Again In Peace Action,1002,"Tribune (Sydney, NSW : 1939 - 1976)",6,1961-07-05,Article,342,Y,0,,
236248849,TRIBUNE FUND,1002,"Tribune (Sydney, NSW : 1939 - 1976)",8,1962-04-18,"Detailed lists, results, guides",100,N,0,,
236252880,No title,1002,"Tribune (Sydney, NSW : 1939 - 1976)",1,1961-07-05,Article,50,Y,0,,
236248865,CIGARETTES AND CANCER. To The Editor.,1002,"Tribune (Sydney, NSW : 1939 - 1976)",2,1962-04-18,Article,291,Y,0,,
236252896,Hopevale inquiry Barrister slates Pastor,1002,"Tribune (Sydney, NSW : 1939 - 1976)",12,1961-07-05,Article,442,N,0,,
236248881,Fine meeting,1002,"Tribune (Sydney, NSW : 1939 - 1976)",8,1961-10-18,Article,72,N,0,,
236252912,"""CHECKER"" A BATTLER",1002,"Tribune (Sydney, NSW : 1939 - 1976)",10,1961-07-05,Article,240,N,0,,
236248897,Advertising,1002,"Tribune (Sydney, NSW : 1939 - 1976)",2,1961-10-18,Advertising,3,N,0,,
236252928,Major space flight ahead,1002,"Tribune (Sydney, NSW : 1939 - 1976)",10,1962-04-25,Article,304,Y,0,,
236248913,EGG FARMERS FACING RUIN Monopolies blamed,1002,"Tribune (Sydney, NSW : 1939 - 1976)",12,1961-10-18,Article,248,N,0,,
236252944,NCC plans wage cut for young workers,1002,"Tribune (Sydney, NSW : 1939 - 1976)",2,1962-04-25,Article,671,Y,0,,
236248929,Dixon is home,1002,"Tribune (Sydney, NSW : 1939 - 1976)",3,1961-10-18,Article,159,N,0,,
236252960,WHAT ECONOMY IS FACING,1002,"Tribune (Sydney, NSW : 1939 - 1976)",6,1962-04-25,Article,1328,Y,0,,
236248945,War on workers,1002,"Tribune (Sydney, NSW : 1939 - 1976)",9,1962-12-19,Article,266,N,0,,
236252976,TRIBUNE FESTIVAL CORNER Tribune readers and sellers conference,1002,"Tribune (Sydney, NSW : 1939 - 1976)",11,1962-04-25,Article,595,N,0,,
236248961,Youngest member of Supreme Soviet,1002,"Tribune (Sydney, NSW : 1939 - 1976)",8,1962-12-19,Article,181,N,0,,
236252992,Stopping trains for meal break,1002,"Tribune (Sydney, NSW : 1939 - 1976)",10,1961-09-13,Article,130,N,0,,
236248977,"Too much talk by ""Daughter of Silence""",1002,"Tribune (Sydney, NSW : 1939 - 1976)",5,1962-12-19,Article,274,N,0,,
236253008,COAST JOBS MARCH,1002,"Tribune (Sydney, NSW : 1939 - 1976)",1,1961-09-13,Article,259,N,0,,
236248993,People Back Congress,1002,"Tribune (Sydney, NSW : 1939 - 1976)",4,1962-12-19,Article,220,N,0,,
236253024,HUGE W. GERMAN WAR MACHINE MENACES WORLD,1002,"Tribune (Sydney, NSW : 1939 - 1976)",4,1961-09-13,Article,976,N,0,,
236249009,About -- but not of -- workers,1002,"Tribune (Sydney, NSW : 1939 - 1976)",7,1961-04-19,Article,256,N,0,,
236253040,UK migrants to seek deputation,1002,"Tribune (Sydney, NSW : 1939 - 1976)",12,1961-09-13,Article,60,N,0,,
236249025,ACKNOWLEDGMENTS,1002,"Tribune (Sydney, NSW : 1939 - 1976)",11,1961-04-19,"Detailed lists, results, guides",41,N,0,,
236253056,WA anger at threat of Crimes Act,1002,"Tribune (Sydney, NSW : 1939 - 1976)",8,1961-03-08,Article,444,N,0,,
236249041,STOP AMERICAN WAR ON FREE CUBA Australians join world-wide demand,1002,"Tribune (Sydney, NSW : 1939 - 1976)",1,1961-04-19,Article,1549,Y,0,,
236253072,VITAL WAGE MEETINGS ON MARCH 16th AND 23rd,1002,"Tribune (Sydney, NSW : 1939 - 1976)",1,1961-03-08,Article,453,N,0,,
236249057,Nasution seeks our friendship,1002,"Tribune (Sydney, NSW : 1939 - 1976)",10,1961-04-19,Article,475,N,0,,
236253088,Another Purfleet baby ill,1002,"Tribune (Sydney, NSW : 1939 - 1976)",12,1961-03-08,Article,335,N,0,,
236249073,May Day 'best ever' prospects,1002,"Tribune (Sydney, NSW : 1939 - 1976)",9,1961-04-19,Article,424,N,0,,
236253104,Miners have YES vote interest,1002,"Tribune (Sydney, NSW : 1939 - 1976)",3,1961-03-08,Article,360,N,0,,
236249089,Anger mounts over Buka Is. repressions,1002,"Tribune (Sydney, NSW : 1939 - 1976)",10,1962-03-14,Article,653,N,0,,
236253120,WORKERS WON JUSTICE FOR ASIAN SEAMEN,1002,"Tribune (Sydney, NSW : 1939 - 1976)",9,1962-09-26,Article,356,N,0,,
236249105,Letters to the Editor,1002,"Tribune (Sydney, NSW : 1939 - 1976)",2,1962-03-14,Article,294,N,0,,
236253136,"ACTION WAVE AROUND WAGES LEAVE, HRS.",1002,"Tribune (Sydney, NSW : 1939 - 1976)",1,1962-09-26,Article,549,N,0,,
236249121,A LITTLE McCARTHY IN ALBANY (WA),1002,"Tribune (Sydney, NSW : 1939 - 1976)",5,1962-03-14,Article,236,N,0,,
236253152,ACTU metal unions lift margins fight,1002,"Tribune (Sydney, NSW : 1939 - 1976)",12,1962-09-26,Article,374,N,0,,
236249137,Obituary,1002,"Tribune (Sydney, NSW : 1939 - 1976)",11,1962-03-14,Article,95,N,0,,
236253168,Miners save matron's job,1002,"Tribune (Sydney, NSW : 1939 - 1976)",12,1962-09-26,Article,208,N,0,,
236249153,Protest on ban,1002,"Tribune (Sydney, NSW : 1939 - 1976)",9,1962-02-28,Article,65,N,0,,
236253184,COMMUNIST REVIEW February,1002,"Tribune (Sydney, NSW : 1939 - 1976)",7,1961-02-22,"Detailed lists, results, guides",174,N,0,,
236249169,"""Errors"" talk cant save Menzies",1002,"Tribune (Sydney, NSW : 1939 - 1976)",2,1962-02-28,Article,530,N,0,,
236253200,TRIBUNE CANDIDATE,1002,"Tribune (Sydney, NSW : 1939 - 1976)",5,1961-02-22,Article,70,N,0,,
236249185,TSHOMBE SPEAKS FOR BIG MONEY,1002,"Tribune (Sydney, NSW : 1939 - 1976)",4,1962-02-28,Article,592,Y,0,,
236253216,NEW FEATURES FOR PICNIC,1002,"Tribune (Sydney, NSW : 1939 - 1976)",11,1961-02-22,Article,170,Y,0,,
236249201,MUSICIANS' T.V. STRIKE SUCCESSFUL,1002,"Tribune (Sydney, NSW : 1939 - 1976)",11,1962-02-28,Article,198,N,0,,
236253232,Rex Chiplin Says.,1002,"Tribune (Sydney, NSW : 1939 - 1976)",3,1961-02-22,Article,221,Y,0,,
236249217,"THE ""FREE WORLD""",1002,"Tribune (Sydney, NSW : 1939 - 1976)",8,1961-03-28,Article,25,Y,0,,
236253248,No title,1002,"Tribune (Sydney, NSW : 1939 - 1976)",10,1961-12-06,Article,39,Y,0,,
236249233,Aborigines rout red-baiters,1002,"Tribune (Sydney, NSW : 1939 - 1976)",1,1961-03-28,Article,89,N,0,,
236253264,THE LETTER,1002,"Tribune (Sydney, NSW : 1939 - 1976)",2,1961-12-06,Article,76,N,0,,
236249249,ELECT CONVENTION DELEGATES,1002,"Tribune (Sydney, NSW : 1939 - 1976)",12,1961-03-28,Article,293,N,0,,
236253280,Marry Gilmores's ARROWS,1002,"Tribune (Sydney, NSW : 1939 - 1976)",5,1961-12-06,Article,576,N,0,,
236249265,TRIBUNE FUND,1002,"Tribune (Sydney, NSW : 1939 - 1976)",11,1961-03-28,"Detailed lists, results, guides",83,N,0,,
236253296,MENZIES SHY ON PEACE QUIZ,1002,"Tribune (Sydney, NSW : 1939 - 1976)",3,1961-12-06,Article,538,Y,0,,
236249281,'GREATEST-EVER' WORKING CLASS DEMONSTRATION,1002,"Tribune (Sydney, NSW : 1939 - 1976)",11,1961-04-12,Article,342,N,0,,
236253312,PEACE PRIZE WELCOMED,1002,"Tribune (Sydney, NSW : 1939 - 1976)",11,1961-06-14,Article,180,N,0,,
236249297,"I PUBLIC MEETING ON CHINA, S-E ASIA",1002,"Tribune (Sydney, NSW : 1939 - 1976)",9,1961-04-12,Article,108,N,0,,
236253328,NEW BLOWS AGAINST AMERICAN LIBERTIES,1002,"Tribune (Sydney, NSW : 1939 - 1976)",9,1961-06-14,Article,1044,N,0,,
236249313,Conference confident on Tribune,1002,"Tribune (Sydney, NSW : 1939 - 1976)",3,1961-04-12,Article,328,N,0,,
236253344,"£3 weekly wage ""crisis""",1002,"Tribune (Sydney, NSW : 1939 - 1976)",7,1961-06-14,Article,225,N,0,,
236249329,WOMEN EXPRESS CONCERN AT CONGO DETERIORATION,1002,"Tribune (Sydney, NSW : 1939 - 1976)",10,1961-01-25,Article,203,N,0,,
236253360,TRANSPORT MEN SING DEFIANCE,1002,"Tribune (Sydney, NSW : 1939 - 1976)",12,1961-06-14,Article,1038,Y,0,,
236249345,"Labor Council demands BHP nationalisation ""Community held to ransom""",1002,"Tribune (Sydney, NSW : 1939 - 1976)",3,1961-01-25,Article,419,Y,0,,
236253376,SEAMEN REJECT INTERFERENCE,1002,"Tribune (Sydney, NSW : 1939 - 1976)",10,1961-09-06,Article,163,N,0,,
236249361,MINERS' £600 FOR BELGIANS,1002,"Tribune (Sydney, NSW : 1939 - 1976)",12,1961-01-25,Article,106,N,0,,
236253392,Want Aust. ships on island run,1002,"Tribune (Sydney, NSW : 1939 - 1976)",8,1961-09-06,Article,196,N,0,,
236249377,TRIBUNE FUND,1002,"Tribune (Sydney, NSW : 1939 - 1976)",11,1961-01-25,"Detailed lists, results, guides",140,Y,0,,
236253408,William Foster dies in Moscow,1002,"Tribune (Sydney, NSW : 1939 - 1976)",3,1961-09-06,Article,152,N,0,,
236249393,TEACHER CREDIT FOR L.C. SUCCESS,1002,"Tribune (Sydney, NSW : 1939 - 1976)",10,1961-01-25,Article,112,N,0,,
236253424,Witch-hunters condemned,1002,"Tribune (Sydney, NSW : 1939 - 1976)",10,1962-11-07,Article,79,N,0,,
236249409,Mary Silmore's ARROWS,1002,"Tribune (Sydney, NSW : 1939 - 1976)",8,1962-05-16,Article,834,N,0,,
236253440,Plot to base Bombs here,1002,"Tribune (Sydney, NSW : 1939 - 1976)",2,1962-11-07,Article,1070,N,0,,
236249425,CLEANSING MOSCOW'S AIR,1002,"Tribune (Sydney, NSW : 1939 - 1976)",7,1962-05-16,Article,291,N,0,,
236253456,LEADING MAN'S AGE OLD MARCH TO FREEDOM,1002,"Tribune (Sydney, NSW : 1939 - 1976)",7,1962-11-07,Article,836,N,0,,
236249441,NCC BACKS MONOPOLY ATTACK ON CONDITIONS,1002,"Tribune (Sydney, NSW : 1939 - 1976)",12,1962-05-16,Article,380,N,0,,
236253472,Workers in Action Injustice exposed,1002,"Tribune (Sydney, NSW : 1939 - 1976)",10,1962-08-01,Article,254,N,0,,
236249457,ABORIGINES STRANDED,1002,"Tribune (Sydney, NSW : 1939 - 1976)",11,1961-02-15,Article,45,N,0,,
236253488,OBITUARY,1002,"Tribune (Sydney, NSW : 1939 - 1976)",8,1962-08-01,Article,82,N,0,,
236249473,"""BHP CAUSED STRIKE""",1002,"Tribune (Sydney, NSW : 1939 - 1976)",9,1961-02-15,Article,417,N,0,,
236253504,J. McC. writes again!,1002,"Tribune (Sydney, NSW : 1939 - 1976)",1,1962-08-01,Article,80,N,0,,
236249489,ABATTOIRS SACKS 50,1002,"Tribune (Sydney, NSW : 1939 - 1976)",8,1961-02-15,Article,175,N,0,,
236253520,YOUTH TO SEEK TALKS ON ALP PEACE POLICY,1002,"Tribune (Sydney, NSW : 1939 - 1976)",4,1962-08-01,Article,397,N,0,,
236249505,Sharkey tells CPA Central Committee,1002,"Tribune (Sydney, NSW : 1939 - 1976)",4,1961-02-15,Article,15,Y,0,,
236253536,Women say,1002,"Tribune (Sydney, NSW : 1939 - 1976)",10,1962-08-01,Article,767,N,0,,
236249521,PRE-CONGRESS DISCUSSION INCREASE THE SALES OF ALL PARTY PAPERS,1002,"Tribune (Sydney, NSW : 1939 - 1976)",9,1961-05-31,Article,728,N,0,,
236253552,UK's plan will worsen crisis,1002,"Tribune (Sydney, NSW : 1939 - 1976)",9,1961-07-12,Article,379,Y,0,,
236249537,No title,1002,"Tribune (Sydney, NSW : 1939 - 1976)",2,1961-05-31,Article,0,Y,0,,
236253568,Advertising,1002,"Tribune (Sydney, NSW : 1939 - 1976)",7,1961-07-12,Advertising,109,N,0,,
236249553,"""Co-prospering"" with Hitler's friends",1002,"Tribune (Sydney, NSW : 1939 - 1976)",11,1961-05-31,Article,593,N,0,,
236253584,Hats off to Jim,1002,"Tribune (Sydney, NSW : 1939 - 1976)",11,1961-07-12,Article,87,N,0,,
236249569,WEST SYDNEY BUILDING PRESS SALES,1002,"Tribune (Sydney, NSW : 1939 - 1976)",11,1961-05-31,Article,153,Y,0,,
236253600,Letter to the Editor Film critic,1002,"Tribune (Sydney, NSW : 1939 - 1976)",11,1961-07-12,Article,217,N,0,,
236249585,Only struggle ended this,1002,"Tribune (Sydney, NSW : 1939 - 1976)",10,1961-05-31,Article,372,N,0,,
236253616,Acknowledgments,1002,"Tribune (Sydney, NSW : 1939 - 1976)",8,1962-01-31,Article,26,N,0,,
236249601,Working People's Life in LETTERS The witch-hunter,1002,"Tribune (Sydney, NSW : 1939 - 1976)",9,1962-09-19,Article,277,N,0,,
236253632,HOW U.S. IS KILLING DEMOCRACY,1002,"Tribune (Sydney, NSW : 1939 - 1976)",6,1962-01-31,Article,1491,Y,0,,
236249617,Brickies meet,1002,"Tribune (Sydney, NSW : 1939 - 1976)",8,1962-09-19,Article,62,N,0,,
236253648,200 ADELAIDE RAIL MEN STOP,1002,"Tribune (Sydney, NSW : 1939 - 1976)",12,1962-01-31,Article,175,N,0,,
236249633,Teacher's action against State aid,1002,"Tribune (Sydney, NSW : 1939 - 1976)",4,1962-09-19,Article,206,N,0,,
236253664,PSA REBUFFS DISRUPTORS,1002,"Tribune (Sydney, NSW : 1939 - 1976)",10,1962-04-11,Article,159,N,0,,
236249649,Action by people saves Maroubra park,1002,"Tribune (Sydney, NSW : 1939 - 1976)",10,1962-03-28,Article,367,N,0,,
236253680,SUPERTANKER STORY STRENGTHENS CASE FOR OIL NATIONALISATION,1002,"Tribune (Sydney, NSW : 1939 - 1976)",8,1962-04-11,Article,561,N,0,,
236249665,SOVIET TRUST POLICY PAYS OFF,1002,"Tribune (Sydney, NSW : 1939 - 1976)",7,1962-03-28,Article,328,N,0,,
236253696,Apprentices demand jobs,1002,"Tribune (Sydney, NSW : 1939 - 1976)",5,1962-04-11,Article,113,N,0,,
236249681,Actions over Buka NT jailings,1002,"Tribune (Sydney, NSW : 1939 - 1976)",1,1962-03-28,Article,555,N,0,,
236253712,"De Gaulle won't, so. French workers unite to fight Secret Army killers",1002,"Tribune (Sydney, NSW : 1939 - 1976)",4,1962-04-11,Article,558,N,0,,
236249697,Soviet People vote without fines,1002,"Tribune (Sydney, NSW : 1939 - 1976)",5,1962-03-28,Article,449,N,0,,
236253728,Equal Pay Week Menzies opposes UN vote for equal pay,1002,"Tribune (Sydney, NSW : 1939 - 1976)",10,1962-04-11,Article,552,N,0,,
236249713,In Australia,1002,"Tribune (Sydney, NSW : 1939 - 1976)",10,1962-03-28,Article,141,N,0,,
236253744,S.A. EQUAL PAY REPORT BACK,1002,"Tribune (Sydney, NSW : 1939 - 1976)",8,1961-05-03,Article,105,N,0,,
236249729,"Working People's Life in LETTERS THE ""FREE"" PRESS",1002,"Tribune (Sydney, NSW : 1939 - 1976)",9,1962-10-03,Article,989,Y,0,,
236253760,WANT STOP OVER CHANGE IN INDEX,1002,"Tribune (Sydney, NSW : 1939 - 1976)",5,1961-05-03,Article,60,N,0,,
236249745,U.S. Jungle Rule bared,1002,"Tribune (Sydney, NSW : 1939 - 1976)",1,1962-10-03,Article,705,Y,0,,
236253776,COLLINSVILLE FIGHTS TORY DEATH SENTENCE,1002,"Tribune (Sydney, NSW : 1939 - 1976)",4,1961-05-03,Article,573,N,0,,
236249761,Nehru won't negotiate on Border issue,1002,"Tribune (Sydney, NSW : 1939 - 1976)",4,1962-10-03,Article,539,N,0,,
236253792,W.A. Women Campaign Against U.S. Base,1002,"Tribune (Sydney, NSW : 1939 - 1976)",3,1961-05-03,Article,213,N,0,,
236249777,ALP conference items show worker seek unity,1002,"Tribune (Sydney, NSW : 1939 - 1976)",9,1961-05-17,Article,619,N,0,,
236253808,LAURIE AARONS WILL OPEN COMMUNIST PARTY CAMPAIGN IN SYDNEY ON NOVEMBER 3,1002,"Tribune (Sydney, NSW : 1939 - 1976)",10,1961-10-11,Article,237,Y,0,,
236249793,BRUTAL MURDER OF CAPTAIN'S FLAT,1002,"Tribune (Sydney, NSW : 1939 - 1976)",6,1961-05-17,Article,683,Y,0,,
236253824,RED HOT,1002,"Tribune (Sydney, NSW : 1939 - 1976)",3,1961-10-11,Article,364,N,0,,
236249809,Kennedy peace myth exploded,1002,"Tribune (Sydney, NSW : 1939 - 1976)",4,1961-05-17,Article,721,N,0,,
236253840,WORK BEGINS ON US NAVAL BASE IN WA,1002,"Tribune (Sydney, NSW : 1939 - 1976)",5,1961-10-11,Article,582,N,0,,
236249825,RED HOT,1002,"Tribune (Sydney, NSW : 1939 - 1976)",3,1961-05-17,Article,420,N,0,,
236253856,No title,1002,"Tribune (Sydney, NSW : 1939 - 1976)",11,1961-10-11,Article,16,Y,0,,
236249841,No title,1002,"Tribune (Sydney, NSW : 1939 - 1976)",10,1961-05-17,Article,35,Y,0,,
236253872,Open state mine at Collinsville!,1002,"Tribune (Sydney, NSW : 1939 - 1976)",10,1961-06-28,Article,117,N,0,,
236249857,Dance-drama on Snowy project,1002,"Tribune (Sydney, NSW : 1939 - 1976)",7,1961-08-30,Article,87,N,0,,
236253888,Naturalisation is important,1002,"Tribune (Sydney, NSW : 1939 - 1976)",8,1961-06-28,Article,732,N,0,,
236249873,PROTEST STOPPAGE ON PIT SHUTDOWN,1002,"Tribune (Sydney, NSW : 1939 - 1976)",1,1961-08-30,Article,221,N,0,,
236253904,"Disarmament ""We stand for strict control"" -- Khrushchov",1002,"Tribune (Sydney, NSW : 1939 - 1976)",4,1961-06-28,Article,950,N,0,,
236249889,7 Secret police nets in Aust.,1002,"Tribune (Sydney, NSW : 1939 - 1976)",12,1961-08-30,Article,231,N,0,,
236253920,Advertising,1002,"Tribune (Sydney, NSW : 1939 - 1976)",6,1961-11-22,Advertising,137,N,0,,
236249905,TRIBUNE FESTIVAL CORNER with adam Ooston More Press Sales mean more votes,1002,"Tribune (Sydney, NSW : 1939 - 1976)",11,1961-08-30,Article,865,Y,0,,
236253936,"""SOMETHING FOR EVERYONE""",1002,"Tribune (Sydney, NSW : 1939 - 1976)",11,1961-11-22,Article,126,N,0,,
236249921,Mary Gilmore Award Winners,1002,"Tribune (Sydney, NSW : 1939 - 1976)",8,1962-08-29,"Detailed lists, results, guides",368,N,0,,
236253952,S A protests on hospital funds,1002,"Tribune (Sydney, NSW : 1939 - 1976)",5,1961-11-22,Article,139,N,0,,
236249937,They oppose all that,1002,"Tribune (Sydney, NSW : 1939 - 1976)",6,1962-08-29,Article,794,N,0,,
236253968,RED HOT,1002,"Tribune (Sydney, NSW : 1939 - 1976)",3,1961-11-22,Article,358,N,0,,
236249953,NOTIZIE IN BREVE,1002,"Tribune (Sydney, NSW : 1939 - 1976)",12,1962-08-29,Article,399,N,0,,
236253984,Building trades slump,1002,"Tribune (Sydney, NSW : 1939 - 1976)",8,1961-11-22,Article,409,N,0,,
236249969,Joint campaign to lift struggle and win 35 hour week,1002,"Tribune (Sydney, NSW : 1939 - 1976)",11,1962-08-29,Article,657,N,0,,
236254000,Federal Unions In joint peace call,1002,"Tribune (Sydney, NSW : 1939 - 1976)",9,1961-12-20,Article,399,N,0,,
236249985,No title,1002,"Tribune (Sydney, NSW : 1939 - 1976)",7,1962-10-24,Article,0,Y,0,,
236254016,EXPOSING THE TRUTH,1002,"Tribune (Sydney, NSW : 1939 - 1976)",6,1961-12-20,Article,185,N,0,,
236250001,WHO WILL BE AFFECTED?,1002,"Tribune (Sydney, NSW : 1939 - 1976)",6,1962-10-24,Article,589,N,0,,
236254032,UNDERGROUND US TESTS NOT CLEAN,1002,"Tribune (Sydney, NSW : 1939 - 1976)",4,1961-12-20,Article,164,N,0,,
236250017,GERM WARFARE,1002,"Tribune (Sydney, NSW : 1939 - 1976)",3,1962-10-24,Article,122,N,0,,
236254048,Young workers forced To take to the track,1002,"Tribune (Sydney, NSW : 1939 - 1976)",11,1961-12-20,Article,154,N,0,,
236250033,"""Free leaders"" demand to Greek Government",1002,"Tribune (Sydney, NSW : 1939 - 1976)",8,1961-05-10,Article,130,N,0,,
236254064,Danger man of Europe,1002,"Tribune (Sydney, NSW : 1939 - 1976)",7,1961-07-26,Article,807,Y,0,,
236250049,HOW SPACE NEWS AFFECTED U.S.S.R.,1002,"Tribune (Sydney, NSW : 1939 - 1976)",7,1961-05-10,Article,848,Y,0,,
236254080,STOP POLICE REPRESSION OF MIGRANTS MENZIES GOVT. MUST ACT ON JOBS CRISIS,1002,"Tribune (Sydney, NSW : 1939 - 1976)",1,1961-07-26,Article,510,N,0,,
